type,pos,headword,freq,range
analyzed,,,2,1
analyzing,,,2,1
anastasia,,,2,1
anatomical,,,2,1
anatone,,,6,1
anayeli,,,2,1
anayelli,,,2,1
ancestors,,,4,1
ancestral,,,2,1
ancestry,,,8,1
anchor,,,2,1
anchorage,,,6,1
anchors,,,4,1
ancient,,,10,1
ancillary,,,2,1
anciso,,,6,1
and,,,25053,1
andean,,,12,1
anderegg,,,16,1
anderson,,,46,1
andfourth,,,6,1
andi,,,2,1
andie,,,2,1
andre,,,4,1
andrea,,,74,1
andres,,,14,1
andrew,,,72,1
andrews,,,28,1
andrus,,,10,1
andthird,,,6,1
andy,,,17,1
anecdote,,,2,1
anecdotes,,,2,1
anestacia,,,2,1
anew,,,6,1
angel,,,582,1
angela,,,28,1
angeles,,,40,1
angelica,,,6,1
angelina,,,8,1
angelinechief,,,2,1
angelique,,,2,1
angelita,,,6,1
angelo,,,4,1
angels,,,14,1
anger,,,8,1
angered,,,2,1
angers,,,2,1
angie,,,30,1
angle,,,6,1
angles,,,2,1
anglin,,,6,1
anglo,,,8,1
angrier,,,2,1
angrily,,,2,1
angry,,,2,1
angus,,,12,1
anika,,,6,1
anikka,,,2,1
animal,,,296,1
animals,,,396,1
animated,,,2,1
animation,,,2,1
animatronic,,,2,1
animosity,,,4,1
anita,,,22,1
anitoch,,,2,1
anjelica,,,4,1
ankle,,,4,1
ankles,,,14,1
ann,,,47,1
anna,,,28,1
annaka,,,8,1
anne,,,18,1
annette,,,2,1
annex,,,22,1
annexation,,,250,1
annexations,,,10,1
annexed,,,34,1
annexing,,,21,1
annie,,,4,1
annihilated,,,2,1
annis,,,2,1
anniversary,,,26,1
annouced,,,2,1
announce,,,10,1
announced,,,160,1
announcement,,,80,1
announcements,,,10,1
announces,,,10,1
announcing,,,8,1
annoyance,,,2,1
annoying,,,4,1
anns,,,2,1
annual,,,372,1
annually,,,58,1
anon,,,16,1
anonymous,,,14,1
another,,,1037,1
anp,,,2,1
answer,,,78,1
answered,,,28,1
answering,,,16,1
answers,,,28,1
antagonism,,,2,1
antagonists,,,2,1
antassia,,,6,1
anthems,,,2,1
anthon,,,2,1
anthony,,,40,1
anti,,,27,1
anticipate,,,4,1
anticipated,,,22,1
anticipates,,,16,1
anticipating,,,4,1
antics,,,4,1
antifreeze,,,2,1
antigel,,,1,1
antiquated,,,2,1
antique,,,12,1
antiques,,,6,1
antiquities,,,2,1
anton,,,4,1
antonia,,,2,1
antoninus,,,2,1
antonio,,,32,1
antony,,,2,1
anvil,,,4,1
anxious,,,18,1
anxiously,,,4,1
any,,,816,1
anybody,,,14,1
anyone,,,156,1
anything,,,160,1
anytime,,,8,1
anyway,,,16,1
anywhere,,,26,1
ap,,,4,1
apanasov,,,4,1
apart,,,20,1
apartment,,,24,1
apartments,,,32,1
apear,,,2,1
apex,,,10,1
aphis,,,16,1
apiece,,,18,1
aplomb,,,2,1
apologies,,,6,1
apologize,,,10,1
apologized,,,8,1
apologizes,,,2,1
apology,,,8,1
appalled,,,2,1
apparatus,,,8,1
apparent,,,18,1
apparently,,,30,1
appeal,,,46,1
appealed,,,2,1
appealing,,,12,1
appeals,,,12,1
appear,,,60,1
appearance,,,34,1
appearances,,,18,1
appeared,,,28,1
appearin,,,2,1
appearing,,,12,1
appears,,,28,1
appeasing,,,2,1
appellate,,,2,1
appellation,,,2,1
appetite,,,2,1
appetizers,,,2,1
applaud,,,2,1
applauded,,,7,1
applause,,,6,1
apple,,,74,1
apples,,,57,1
appliances,,,2,1
applicable,,,20,1
applicant,,,26,1
applicants,,,68,1
application,,,92,1
applications,,,86,1
applicators,,,2,1
applied,,,43,1
applies,,,2,1
appling,,,8,1
apply,,,56,1
applying,,,25,1
appoint,,,14,1
appointed,,,68,1
appointee,,,6,1
appointees,,,6,1
appointing,,,4,1
appointment,,,38,1
appointments,,,14,1
appoints,,,6,1
appraiser,,,2,1
appreciate,,,42,1
appreciated,,,46,1
appreciates,,,4,1
appreciating,,,2,1
appreciation,,,8,1
appreciative,,,6,1
apprehend,,,2,1
apprehended,,,4,1
apprentice,,,2,1
apprenticeship,,,6,1
apprised,,,2,1
approach,,,62,1
approached,,,29,1
approaches,,,8,1
approaching,,,6,1
appropriate,,,36,1
appropriated,,,2,1
appropriately,,,12,1
appropriateness,,,2,1
appropriates,,,2,1
appropriation,,,2,1
appropriations,,,18,1
approval,,,164,1
approvals,,,2,1
approve,,,144,1
approved,,,467,1
approvedalderwood,,,2,1
approvedfor,,,4,1
approves,,,86,1
approving,,,32,1
approximate,,,6,1
approximately,,,100,1
apricot,,,2,1
april,,,464,1
apropos,,,2,1
apt,,,2,1
aqua,,,2,1
aquarium,,,4,1
aquasox,,,2,1
aquatic,,,94,1
aquatics,,,22,1
aquifer,,,4,1
aquifers,,,6,1
araceli,,,28,1
arbiter,,,2,1
arbitrary,,,2,1
arbitration,,,2,1
arbor,,,16,1
arboretum,,,4,1
arbys,,,2,1
arc,,,2,1
arcade,,,2,1
arce,,,2,1
arcella,,,4,1
arch,,,2,1
archangel,,,4,1
archeological,,,2,1
archie,,,2,1
architect,,,10,1
architects,,,6,1
architectural,,,10,1
architecture,,,14,1
archival,,,2,1
archives,,,4,1
archivist,,,2,1
arctic,,,10,1
ardis,,,2,1
arduous,,,2,1
are,,,5909,1
area,,,857,1
areas,,,219,1
arellano,,,2,1
aren,,,146,1
arena,,,14,1
arenas,,,2,1
arent,,,2,1
arevalo,,,12,1
argentina,,,12,1
argentine,,,4,1
argo,,,2,1
arguably,,,2,1
argue,,,10,1
argued,,,8,1
arguing,,,4,1
argument,,,10,1
arguments,,,6,1
ariana,,,4,1
arianeli,,,6,1
arias,,,4,1
arie,,,4,1
ariel,,,4,1
arikara,,,2,1
arise,,,12,1
arisen,,,2,1
arises,,,2,1
aristeo,,,6,1
aristophanes,,,2,1
aristotle,,,2,1
arithmetic,,,2,1
ariz,,,16,1
arizona,,,42,1
arizonans,,,6,1
ark,,,8,1
arkansas,,,6,1
arlene,,,10,1
arleta,,,2,1
arlie,,,6,1
arlington,,,26,1
arlo,,,4,1
arlyn,,,2,1
arm,,,4,1
armando,,,10,1
armas,,,2,1
armband,,,2,1
armed,,,6,1
armendariz,,,4,1
armondo,,,2,1
armor,,,4,1
armored,,,2,1
armory,,,2,1
armrest,,,2,1
arms,,,40,1
armstead,,,2,1
armstrong,,,4,1
army,,,90,1
arnaldo,,,2,1
arnett,,,2,1
arnold,,,24,1
arola,,,2,1
aroldo,,,4,1
arose,,,6,1
around,,,412,1
arraigned,,,4,1
arrange,,,24,1
arranged,,,4,1
arrangement,,,6,1
arrangements,,,103,1
arranger,,,2,1
arranging,,,4,1
array,,,20,1
arreguin,,,16,1
arreola,,,4,1
arrest,,,22,1
arrested,,,32,1
arrests,,,6,1
arriaga,,,8,1
arrival,,,20,1
arrive,,,20,1
arrived,,,50,1
arrives,,,8,1
arriving,,,14,1
arrow,,,2,1
arroyo,,,4,1
art,,,200,1
arteaga,,,82,1
artega,,,8,1
artemio,,,2,1
arterial,,,6,1
arteries,,,2,1
artesian,,,2,1
arthritis,,,16,1
arthur,,,34,1
article,,,34,1
articles,,,8,1
artifact,,,2,1
artifacts,,,10,1
artificats,,,2,1
artillery,,,2,1
artisans,,,2,1
artist,,,48,1
artistic,,,6,1
artists,,,88,1
arts,,,178,1
artsat,,,2,1
artspowers,,,2,1
artsthe,,,2,1
artwalk,,,2,1
artwork,,,10,1
artz,,,110,1
artzs,,,2,1
arvada,,,2,1
as,,,6221,1
asa,,,4,1
asayo,,,3,1
asb,,,16,1
asbestos,,,2,1
ascension,,,2,1
ash,,,4,1
ashamed,,,6,1
asher,,,16,1
ashes,,,6,1
asheville,,,2,1
ashlee,,,4,1
ashleigh,,,6,1
ashley,,,42,1
ashlie,,,6,1
asia,,,8,1
asian,,,14,1
asians,,,2,1
aside,,,64,1
asides,,,2,1
ask,,,135,1
asked,,,411,1
askedto,,,2,1
asking,,,158,1
asks,,,18,1
asleep,,,10,1
asne,,,2,1
asotin,,,6,1
aspaas,,,2,1
aspall,,,2,1
asparagus,,,76,1
aspect,,,23,1
aspects,,,34,1
aspen,,,2,1
asphalt,,,9,1
aspirations,,,22,1
aspiring,,,2,1
assassin,,,4,1
assault,,,20,1
assaulted,,,2,1
assaults,,,6,1
assemblies,,,6,1
assembly,,,40,1
assert,,,2,1
assertion,,,4,1
assertions,,,2,1
assess,,,8,1
assessed,,,110,1
assesses,,,6,1
assessing,,,8,1
assessment,,,90,1
assessments,,,18,1
asset,,,34,1
assets,,,12,1
assign,,,2,1
assigned,,,20,1
assigning,,,4,1
assignment,,,26,1
assignments,,,18,1
assist,,,88,1
assistance,,,77,1
assistant,,,176,1
assistants,,,6,1
assisted,,,16,1
assisting,,,10,1
assists,,,60,1
assoc,,,6,1
assocation,,,4,1
associate,,,44,1
associated,,,54,1
associates,,,32,1
association,,,282,1
associations,,,8,1
assorted,,,2,1
assortment,,,4,1
asst,,,2,1
assuage,,,2,1
assume,,,14,1
assumes,,,2,1
assuming,,,4,1
assumption,,,2,1
assurance,,,4,1
assure,,,16,1
assured,,,14,1
assuredly,,,2,1
assuring,,,2,1
astaire,,,2,1
astonished,,,2,1
astonishing,,,2,1
astonishment,,,2,1
astounding,,,6,1
astray,,,2,1
astrology,,,4,1
astronaut,,,2,1
astronauts,,,2,1
astronomy,,,4,1
astros,,,2,1
asuncion,,,2,1
asymmetry,,,4,1
at,,,10784,1
atchison,,,6,1
ate,,,10,1
ateen,,,2,1
athelete,,,2,1
atherton,,,8,1
athlete,,,28,1
athletes,,,40,1
athletic,,,142,1
athletics,,,10,1
atlanta,,,2,1
atlantic,,,4,1
atlantis,,,2,1
atmosphere,,,26,1
atmospheric,,,2,1
atoning,,,2,1
atop,,,4,1
atrocities,,,8,1
atrocity,,,2,1
atta,,,10,1
attach,,,2,1
attached,,,8,1
attaching,,,2,1
attack,,,76,1
attacked,,,16,1
attacking,,,4,1
attacks,,,28,1
attain,,,2,1
attained,,,2,1
attaining,,,4,1
attempt,,,54,1
attempted,,,24,1
attempting,,,16,1
attempts,,,40,1
attend,,,346,1
attendance,,,140,1
attendant,,,2,1
attended,,,206,1
attendees,,,22,1
attending,,,260,1
attends,,,18,1
attention,,,113,1
attentions,,,2,1
attest,,,6,1
attitude,,,38,1
attitudes,,,10,1
attn,,,2,1
attorney,,,94,1
attorneys,,,6,1
attract,,,48,1
attracted,,,16,1
attracting,,,4,1
attraction,,,14,1
attractions,,,6,1
attractive,,,24,1
attractiveness,,,8,1
attracts,,,2,1
attributable,,,2,1
attribute,,,6,1
attributed,,,14,1
attributes,,,8,1
attributing,,,2,1
auburn,,,18,1
auction,,,66,1
auctions,,,6,1
audel,,,2,1
audience,,,76,1
audiences,,,12,1
audio,,,10,1
audit,,,8,1
auditing,,,2,1
audition,,,16,1
auditioned,,,6,1
auditioning,,,2,1
auditions,,,40,1
auditor,,,44,1
auditorium,,,78,1
audits,,,2,1
audra,,,2,1
audrey,,,6,1
aug,,,260,1
august,,,68,1
augusta,,,2,1
auguste,,,6,1
augustine,,,4,1
aukamp,,,2,1
auld,,,10,1
aunt,,,8,1
aunts,,,12,1
aurelia,,,2,1
aurelio,,,6,1
aurelius,,,2,1
aurora,,,4,1
aurtio,,,2,1
auspices,,,2,1
austin,,,6,1
australia,,,8,1
australian,,,2,1
author,,,18,1
authored,,,4,1
authoritative,,,2,1
authorities,,,8,1
authority,,,56,1
authorization,,,2,1
authorize,,,2,1
authorized,,,14,1
authorizing,,,8,1
authors,,,12,1
autism,,,2,1
autistic,,,4,1
auto,,,66,1
autocross,,,4,1
autographs,,,2,1
automat,,,2,1
automated,,,6,1
automatic,,,16,1
automatically,,,18,1
automobile,,,24,1
automobiles,,,6,1
automotive,,,14,1
autonomous,,,2,1
autopsy,,,2,1
autumn,,,8,1
auxiliaries,,,4,1
auxiliary,,,44,1
avail,,,8,1
availability,,,12,1
